Id da Instalação;Id do Equipamento;Nome;Tipo do Equipamento;Id Tipo de Rede;Tipo de Rede;Agente Proprietário;Data Prevista;Data Entrada;Data de Necessidade do SIN
RNSS3 ;RNSS3-0H1           ;BC 34P5 kV  6P0 Mvar SER.SANTANA 3            H1 RN                     ;BCP;SUP;SUPERVISAO     ;ECHOENERGIA PARTICIPACOES S.A.                                 ;30/04/2016;20/02/2016;
RNUERF;RNUERF0H1           ;BC 34P5 kV  5P5 Mvar EOL R.DO FOGO            H1 RN                     ;BCP;SIM;SIMULACAO      ;Enerbrasil - Energias Renováveis do Brasil S.A.                ;31/08/2016;;
RNUVT ;RNUVT-2BC1          ;BC  230 kV   15 Mvar UNIAO  VENTOS            H1 RN                     ;BCP;COM;COMPLEMENTAR   ;Energia Potiguar Geradora Eólica SA                            ;22/04/2014;05/04/2014;
RNUVT ;RNUVT-2BC2          ;BC  230 kV   15 Mvar UNIAO  VENTOS            H2 RN                     ;BCP;COM;COMPLEMENTAR   ;Energia Potiguar Geradora Eólica SA                            ;22/04/2014;05/04/2014;
ROJP  ;ROJP--2BC1          ;BC  230 kV 18P5 Mvar JI-PARANA                 1 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;31/12/1990;
ROJP  ;ROJP--2BC2          ;BC  230 kV 18P5 Mvar JI-PARANA                 2 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;13/07/2009;
ROJP  ;ROJP--2BC3          ;BC  230 kV 18P5 Mvar JI-PARANA                 3 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;13/08/2011;13/08/2011;31/07/2010
ROPB  ;ROPB--2BC1          ;BC  230 kV 18P5 Mvar PIMENTA BUENO             1 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/12/2012;20/12/2012;31/12/2009
ROPB  ;ROPB--2BC2          ;BC  230 kV 18P5 Mvar PIMENTA BUENO             2 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/12/2012;20/12/2012;31/12/2009
ROPB  ;ROPB--2BC3          ;BC  230 kV 18P5 Mvar PIMENTA BUENO             3 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/12/2012;20/12/2012;31/12/2009
ROPV  ;ROPV--0BC1          ;BC   69 kV   50 Mvar PORTO VELHO               1 RO                     ;BCP;COM;COMPLEMENTAR   ;;31/12/2018;;28/02/2014
ROVN  ;ROVN--2BC1          ;BC  230 kV 18P5 Mvar VILHENA                   1 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;11/12/2011;20/12/2011;31/07/2009
ROVN  ;ROVN--2BC2          ;BC  230 kV 18P5 Mvar VILHENA                   2 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;11/12/2011;20/12/2011;31/07/2009
ROVN  ;ROVN--2BC3          ;BC  230 kV 18P5 Mvar VILHENA                   3 RO                     ;BCP;BAS;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;11/12/2011;20/12/2011;31/07/2009
ROVN  ;ROVN--2BC4          ;BC  230 kV 18P5 Mvar VILHENA                   4 RO                     ;BCP;BAS;BASICA         ;;09/09/9999;;31/12/2010
ROVN  ;ROVN--2BC5          ;BC  230 kV 18P5 Mvar VILHENA                   5 RO                     ;BCP;BAS;BASICA         ;;09/09/9999;;31/12/2010
ROVN  ;ROVN--2BC6          ;BC  230 kV 18P5 Mvar VILHENA                   6 RO                     ;BCP;BAS;BASICA         ;;09/09/9999;;31/12/2010
RRSERN;RRSERN0BC01         ;BC 13P8 kV  1P2 Mvar SE RORAINOPOLIS          01 RR                     ;BCP;ISO;SISTEMA ISOLADO;RORAIMA ENERGIA S.A                                            ;31/12/1990;;
RRSERN;RRSERN0BC02         ;BC 13P8 kV  1P2 Mvar SE RORAINOPOLIS          02 RR                     ;BCP;ISO;SISTEMA ISOLADO;RORAIMA ENERGIA S.A                                            ;31/12/1990;;
RSBAG2;RSBAG20BC1          ;BC 13P8 kV  3P6 Mvar BAGE2                     1 RS                     ;BCP;SIM;SIMULACAO      ;COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T ;13/10/2015;24/07/2015;31/03/2012
RSCAM ;RSCAM-0BC1          ;BC   23 kV  3P6 Mvar CAMAQUA                   1 RS                     ;BCP;SIM;SIMULACAO      ;COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T ;;31/12/1990;
RSCAX5;RSCAX50BC1          ;BC 13P8 kV  3P6 Mvar CAXIAS SUL 5              1 RS                     ;BCP;SIM;SIMULACAO      ;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.                          ;31/10/2005;17/10/2005;
RSCAX5;RSCAX50BC2          ;BC 13P8 kV  3P6 Mvar CAXIAS SUL 5              2 RS                     ;BCP;SIM;SIMULACAO      ;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.                          ;31/10/2005;17/10/2005;
RSCAX5;RSCAX50BC3          ;BC 13P8 kV  3P6 Mvar CAXIAS SUL 5              3 RS                     ;BCP;SIM;SIMULACAO      ;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.                          ;31/10/2005;17/10/2005;
RSCAX5;RSCAX50BC4          ;BC 13P8 kV  3P6 Mvar CAXIAS SUL 5              4 RS                     ;BCP;SIM;SIMULACAO      ;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.                          ;31/10/2005;17/10/2005;
RSCBO ;RSCBO-0BC1          ;BC   23 kV  7P2 Mvar CAMPO BOM                 2 RS                     ;BCP;BAS;BASICA         ;COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T ;;30/11/2011;
RSCBO ;RSCBO-2BC1          ;BC  230 kV  100 Mvar CAMPO BOM                 1 RS                     ;BCP;BAS;BASICA         ;COMPANHIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T ;30/11/2006;14/11/2006;31/01/2005
